,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-09-01,964788.0869282745,949472.8151417046,867106.7482706796,915545.2467319686,984009.1583685838,,922216.2453482611
2022-09-02,952250.5213968413,937364.3702774316,863246.5842825662,908107.4687766349,971237.7078452073,,912370.183170008
2022-09-06,946798.7866765369,935515.4692497521,855564.3781592142,902147.9451978995,969808.1458830796,,907326.2996135225
2022-09-07,958298.0766288874,946472.3644047051,865045.3118197214,912907.5288178679,981776.0599513017,,920027.2452897694
2022-09-08,964571.5963277534,954440.5264892846,871709.1353155862,921239.3467719237,990524.9841875993,,925656.7284668101
2022-09-09,975332.0079439013,958334.5920238763,888163.5109965097,933270.1651139571,998707.7285037003,,936645.0854354113
2022-09-12,985906.5600921424,962644.3003444939,899757.1472765695,943979.7755837523,1008800.1946959458,,943334.6450339991
2022-09-13,947631.0511866821,929100.7037411004,862304.9401041757,911641.6953454672,969831.9793353043,,906151.4019682793
2022-09-14,944812.1741596817,940406.8994694024,867705.0206591379,917822.56104905,973257.6813178025,,907028.8341241849
2022-09-15,947593.2442348349,941545.0938129693,856706.6392351877,911545.1339609534,978134.3127360307,,901981.1383665162
2022-09-16,941667.0066376937,940382.7204933434,846044.3640906106,904706.627151612,973860.2584967576,,897920.1199329871
2022-09-19,947992.10998856,939204.1743068963,854499.7561899911,907940.4269161726,978403.1748061143,,903666.7002747288
2022-09-20,940728.6452033428,932332.4732971459,845051.6637236368,900383.6092047469,971333.503564354,,894535.2835720076
2022-09-21,924224.8736257289,918796.5072422295,833516.0119997751,889113.8792221381,952266.0514216386,,879315.2125945113
2022-09-22,920431.0947676928,921519.7028446465,827582.4440104257,887749.2197998053,949876.9327845536,,876195.1819694492
2022-09-23,903524.5161384967,909276.6541748315,804757.9699675333,870334.3445347716,936893.2995238267,,862029.1561698371
2022-09-26,892833.3018907073,897058.4692535668,794635.4990622293,862315.0775576865,925691.4576296769,,852427.2455628823
2022-09-27,890534.4196709025,893427.5495014458,793692.2297007333,860178.5252456595,922496.9622111283,,848761.8425745262
2022-09-28,906710.6344328063,908526.6886463433,812175.7904764902,872630.6391708724,939360.1672987901,,864748.0521927895
2022-09-29,890658.4613644278,893489.4612293511,796981.7119776498,856323.0075893942,923221.4677252732,,851401.7634446094
2022-09-30,877432.5246627296,882197.5822487145,783893.8646933328,842375.4407762495,910583.1962656938,,836832.8391886088
2022-10-03,900145.2887195246,895071.8191242486,808111.7312342416,861230.8409034888,931229.2255892716,,859129.9487207732
2022-10-04,926759.2124414237,918817.1915874749,839158.0881830942,888849.7326551481,955422.8277754746,,883176.403407812
2022-10-05,923729.494286364,914182.2768020898,835917.3626600992,884420.5264486662,954197.825528618,,881939.7139642864
2022-10-06,911802.031781771,901350.0214824944,832146.7181727182,874387.6973605353,941845.7080054246,,871832.9427439246
2022-10-07,893250.3246730902,890240.5490722924,814463.4849097024,858775.1055166709,922415.2857985459,,853475.3732941538
2022-10-10,892945.9897448276,896288.7878265649,807322.8095137369,857946.0814538351,917975.8682093583,,850739.6353077653
2022-10-11,892620.8864334034,902427.0876331597,800874.8952242624,854601.9004383056,920508.4014487229,,851797.3788897824
2022-10-12,891544.5406681292,900551.2933006554,799970.8534247171,852259.1276803404,919504.6839098893,,850971.7812902628
2022-10-13,915533.2861418765,921404.4670830041,824139.222756077,873120.1807919471,939389.8559184037,,875089.359133704
2022-10-14,905368.8729324267,915664.5422992974,804380.8016268503,860594.7369402816,932286.4472651444,,863323.1993266856
2022-10-17,921764.7760759433,929623.5513477593,820927.799223591,879467.2171883361,950051.60936689,,879374.6715532638
2022-10-18,930977.9822945483,934859.2128105431,836220.4445349466,895331.0578961455,956902.5667777024,,889220.7337315168
2022-10-19,928040.9622505115,934997.5620403558,836427.7658869516,892859.3562752539,952547.7945914231,,886307.8137378986
2022-10-20,924881.5558911898,933795.1589126855,837293.3931166421,897544.8857320639,950522.1690592729,,883679.5001669403
2022-10-21,952450.7416225036,957464.2869148522,862579.2908026468,915811.8058299834,970662.4138674699,,905498.54829103
2022-10-24,965345.6689523451,969180.0408497124,871066.9266878854,925827.0179892661,982504.8005957566,,917648.3179544206
2022-10-25,973627.0224432567,973344.652170208,886338.6320025217,939876.2609385077,992745.132585045,,927469.34478162
2022-10-26,975199.90232877,966430.6208725243,885304.2019125711,931392.9683255698,990635.4894804917,,927538.3626925929
2022-10-27,985852.473692694,978625.7256603509,888329.8405024301,936238.7103141333,999955.5967802964,,933194.9295675916
2022-10-28,1013279.1604635108,998162.5003986626,909892.1016527902,955883.2726284949,1022319.3551001512,,957331.4546198986
2022-10-31,1011887.3920650199,995864.6923961907,908562.5423914682,954261.5546443183,1019018.7670073472,,953577.7451205532
2022-11-01,1008882.4417146553,992938.033029583,907367.340906788,949973.9319360587,1013907.6882681809,,951254.4645427738
2022-11-02,999859.6999980567,987366.0301208764,885834.1244093667,935915.6466649139,1002281.1391043626,,936529.9797190897
2022-11-03,1002870.0159525188,997564.0496521264,876811.4735342752,931258.6990045821,1004141.063355919,,932261.8506541168
2022-11-04,1015105.0988801463,1007320.5263729363,882740.3145357858,937256.5492491195,1014891.8412928544,,943972.0792109404
2022-11-07,1025301.9919153255,1019477.4475498467,895480.9712931406,953101.9829751861,1028140.6354823075,,956317.6366992756
2022-11-08,1035087.6572688945,1029722.9326916009,899252.5276324045,964420.5261600958,1040119.4862341844,,966042.7326131193
2022-11-09,1019473.5101025966,1021708.8605213433,870516.8265711557,951969.2654832923,1019825.8967757188,,947197.5428030535
2022-11-10,1050713.1878602412,1044359.4623508721,916804.6863161813,993882.6634967239,1049242.436900612,,982197.7032568944
2022-11-11,1045474.5400658916,1029465.0887928277,934345.516310383,993199.1823268554,1035256.7831301652,,983144.153323773
2022-11-14,1038842.8161380047,1033582.0706348687,928544.6709276926,992972.1887448165,1028960.4416556321,,976992.6261787383
2022-11-15,1037509.4584536174,1033612.8057232171,938668.2106997262,1000427.2338834654,1024280.834304329,,978630.5071228988
2022-11-16,1037238.0987832225,1033522.0661678582,929027.6994349252,992775.8181801573,1026899.8342394792,,977491.6262440578
2022-11-17,1039610.3999710429,1039166.8602009087,921641.142470051,989735.1160481917,1027277.520305153,,977272.908313489
2022-11-18,1048923.1975674022,1046076.094686535,921932.9420840036,995743.4202913558,1041547.7998938523,,983080.9959608875
2022-11-21,1044969.2780185894,1049697.798868206,923264.6581942331,995179.1179013068,1037518.941392418,,981758.1052518021
2022-11-22,1056453.7308791087,1055692.0061359673,938016.248026539,1007302.6330580298,1048020.5689787827,,993347.4244427414
2022-11-23,1061307.0140034067,1059319.0507374078,942198.1281687509,1013340.4560651404,1053469.203849312,,996142.848981983
2022-11-25,1066867.3448931812,1066012.6800213128,943551.7296854745,1018453.5219422538,1060647.3907275163,,1000599.2552665843
2022-11-28,1050701.2980781577,1054852.6592922478,927450.8742815744,1009456.2135986564,1046483.4753527604,,986104.0146006166
2022-11-29,1051846.1045517237,1057063.2899914056,925671.0442187082,1010511.9093496443,1047742.4314494096,,986193.4590821085
2022-11-30,1072687.8457887329,1070823.8469372063,948573.7813708078,1033195.9837338035,1072216.7473311387,,1007670.7177657906
2022-12-01,1064451.842506327,1066906.2655620843,937796.9108454477,1017062.4155675169,1065035.0082831345,,1001997.0244347303
2022-12-02,1066636.5412057822,1074778.3133259087,933889.6563784372,1018084.7057977568,1070087.9002871476,,1003012.7769052073
2022-12-05,1055077.2368121436,1070899.0306072503,908818.9355494272,1001044.4455859496,1064522.7501368485,,988948.4856685133
2022-12-06,1043269.4100259974,1054560.4368076592,892095.5742518198,988281.0782020156,1055570.0480189286,,978730.0795418622
2022-12-07,1043527.5296058658,1055619.3487835198,888199.4781100046,984773.7027541281,1058692.3116011582,,978776.1673472109
2022-12-08,1048248.9632059444,1059745.3661136895,891375.4978358041,987725.6586324812,1065129.7915072404,,984123.604535222
2022-12-09,1039664.7104356464,1053005.4152584344,884838.5849520456,983315.9175864111,1055896.3617129289,,975237.7618669271
2022-12-12,1055373.1802251763,1069415.0044498711,898411.5986391794,997808.87331939,1074619.6423411332,,990636.3235177308
2022-12-13,1058107.4913384556,1076920.500165966,909477.6695544015,1007233.9216005789,1074493.6978564225,,993654.4488842995
2022-12-14,1052156.5415726588,1078190.6610775262,901029.1710345041,1003095.4611978347,1072473.8306250535,,989509.2775321152
2022-12-15,1027541.1398339351,1059052.8652706414,877682.3581110727,978252.8705725867,1050523.2443041764,,967248.5261575038
2022-12-16,1021818.7496471236,1052664.8901920586,868283.5801798593,968810.4577682044,1042741.5335822068,,959040.3449234111
2022-12-19,1018976.3928921875,1053653.8286114007,861876.819914509,967994.5760054709,1039306.8739943467,,954294.0975518386
2022-12-20,1021060.5502684691,1058476.2621670037,865511.1356722604,971992.7159597251,1041409.1668295823,,956980.0493287453
2022-12-21,1040630.5031484854,1078420.39426997,877514.9674860727,987270.4280619285,1058462.923058983,,972325.1263659345
2022-12-22,1029101.5939220146,1064672.4098224908,866683.1160227548,976452.220593064,1048276.2254557572,,962158.2703030438
2022-12-23,1033552.1043692192,1068603.519483593,873746.7461039316,980220.4718109022,1055476.1351256333,,967298.3692655106
2022-12-27,1034191.5905375198,1069335.9773083,873531.2634035837,981536.390040898,1057470.1134715043,,968394.57625051
2022-12-28,1023602.5119940665,1062002.5773678094,860621.4846407663,970189.2281540954,1047468.3221106492,,957736.685915817
