,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-05-19,937825.8315394825,893513.0674696467,917247.1173630183,956286.7197109774,1012554.6254506304,,910467.6102869802
2022-05-20,940905.2218745655,890179.2201109431,919971.137100262,960230.7770796526,1007282.9754147723,,910723.0846647779
2022-05-23,958152.9090159839,908617.8944273493,946710.765552563,970878.2116520975,1030018.5336728289,,928736.5887331362
2022-05-24,960438.4011958545,911859.7875319025,940983.2857323115,976876.021313257,1032532.849800606,,930145.9652004068
2022-05-25,967001.2757266468,920506.8508863947,944751.2429695552,979126.5781023768,1037337.3658719256,,935729.4174706239
2022-05-26,979219.6885226673,938903.7209578059,959058.930320782,990838.018723089,1050465.1018109515,,950788.0673323491
2022-05-27,994936.3695033496,957550.615511944,981927.0786133235,1003486.1318962992,1067430.7728390887,,967561.4680456745
2022-05-31,982380.0521930164,950021.6951704524,975967.9125595515,990289.758607313,1065560.4900250628,,961069.6877204106
2022-06-01,983818.5962336963,944789.2612181208,974917.6609344905,986621.3954995669,1057639.8676877215,,955916.5020971658
2022-06-02,997612.2516864246,961902.8068266413,991416.913700146,996768.0370380762,1059728.5236821368,,968590.4209739799
2022-06-03,985342.2495425647,955936.2650862238,972255.1949387019,987149.5367885836,1055058.6667447283,,958435.5136013648
2022-06-06,987610.4371188587,954862.9228315852,972677.3033180659,992032.2247693156,1054915.5970730975,,958904.016057219
2022-06-07,999406.2608035511,961720.5878401301,982595.829338116,1001186.8971999071,1061734.1801266863,,966605.3452295252
2022-06-08,991354.8244822925,952056.7587156794,974681.8136825984,992073.2914958895,1055333.0406079486,,958761.769744414
2022-06-09,974695.954315514,935136.9583998225,950821.1554832881,980483.7114907091,1029918.2044797137,,940172.3388047713
2022-06-10,950360.6794322437,908413.9584074519,921730.7386475032,964289.2208350352,1002558.6467938616,,914536.1393258254
2022-06-13,919983.8522189563,880864.850504925,890384.1159820979,941839.1045205554,978961.9459500506,,889015.045563201
2022-06-14,912510.901291222,882652.0941343806,888047.4829483455,932378.1071207827,978717.5924763873,,884589.5920762658
2022-06-15,918887.4035418933,895835.3674269221,899692.7513962215,939167.9199483393,985545.5101666644,,893436.9713415785
